trade_date,上证综指,深证成指,沪深300,创业板指,上证50,中证500,中小板指,上证180
2018-02-14,3199.1589,10431.9136,3966.9614,1646.7714,2871.7873,5754.8344,7087.0318,8549.6142
2018-02-22,3268.5589,10658.9367,4052.7332,1677.7647,2931.8815,5875.7272,7270.9506,8726.9872
2018-02-23,3289.0241,10662.7915,4071.0889,1668.8345,2957.171,5897.6765,7285.1745,8789.2626
2018-02-26,3329.5737,10895.5619,4118.4186,1729.1527,2973.7855,6029.6795,7488.4254,8863.9577
2018-02-27,3292.0679,10807.5346,4058.9806,1743.5413,2927.0968,6010.5573,7443.5541,8737.1079
2018-02-28,3259.408,10828.7302,4023.6415,1753.6274,2878.6666,6023.677,7477.2628,8624.613
2018-03-01,3273.7549,10943.1309,4049.0863,1789.8488,2891.2982,6090.2247,7581.8871,8668.9808
2018-03-02,3254.5283,10856.2464,4016.461,1772.0054,2864.1834,6056.3354,7456.2465,8597.5352
2018-03-05,3256.9263,10875.6799,4018.097,1795.6928,2863.9909,6064.0983,7481.8574,8598.408
2018-03-06,3289.6419,11007.9518,4066.5647,1797.6095,2892.4752,6145.5768,7555.1213,8696.4386
2018-03-07,3271.6683,10904.9881,4036.6536,1785.2696,2878.1506,6086.4874,7468.9788,8645.8961
2018-03-08,3288.4055,11019.078,4077.6001,1793.2216,2898.2542,6131.5142,7521.2234,8716.8549
2018-03-09,3307.1656,11194.9143,4108.8652,1856.4554,2908.1974,6206.9754,7665.1674,8757.1309
2018-03-12,3326.6992,11326.2715,4127.6662,1882.409,2909.5793,6295.7776,7781.5751,8778.755
2018-03-13,3310.2389,11241.4055,4091.2533,1872.6782,2883.3771,6254.1457,7699.0453,8705.9665
2018-03-14,3291.3819,11139.6271,4073.3447,1841.2893,2871.334,6189.317,7631.7231,8677.6877
2018-03-15,3291.112,11163.6543,4096.1627,1848.7105,2894.9828,6180.1108,7651.0201,8726.0053
2018-03-16,3269.8821,11051.1216,4056.4226,1821.3223,2870.7318,6146.3058,7563.4965,8660.532
2018-03-19,3279.2517,11068.493,4074.2479,1842.9199,2897.2558,6153.8339,7581.2796,8713.1505
2018-03-20,3290.6399,11077.8014,4077.7041,1864.6204,2904.3972,6173.6984,7579.7153,8733.6781
2018-03-21,3280.9521,10980.5494,4061.0502,1829.9129,2894.1835,6129.2042,7529.6154,8706.4723
2018-03-22,3263.4803,10877.2518,4020.349,1817.2279,2866.6702,6101.2276,7465.554,8633.122
2018-03-23,3152.7608,10439.9863,3904.9355,1726.0209,2791.4674,5787.1523,7160.3713,8400.0324
2018-03-26,3133.7218,10564.3754,3879.893,1780.6093,2738.868,5902.9588,7282.9183,8302.7183
2018-03-27,3166.6488,10775.7105,3913.2689,1844.6929,2747.5872,6034.775,7457.669,8351.3972
2018-03-28,3122.2895,10630.6889,3842.7155,1835.1539,2694.8259,5973.3414,7338.635,8205.2626
2018-03-29,3160.5306,10755.9202,3894.0498,1842.1872,2738.7906,6034.8572,7361.4633,8308.0961
2018-03-30,3168.8966,10868.6549,3898.4977,1900.4817,2722.153,6114.7382,7443.5866,8304.4187
2018-04-02,3163.179,10852.9477,3886.9189,1900.2546,2711.3735,6121.9642,7396.4055,8289.4955
2018-04-03,3136.6332,10754.2855,3862.4796,1872.4701,2697.272,6059.7089,7345.3203,8238.2707
2018-04-04,3131.1114,10684.5618,3854.8625,1836.8127,2702.3692,6017.6863,7280.3516,8229.3392
2018-04-09,3138.2936,10653.3758,3852.9292,1841.6531,2715.7318,6025.6493,7250.8202,8254.8191
2018-04-10,3190.3216,10765.6151,3927.1729,1835.5201,2780.8036,6063.7423,7345.9063,8420.2664
2018-04-11,3208.0818,10808.37,3938.3434,1834.6256,2785.3386,6086.6126,7376.128,8437.3735
2018-04-12,3180.1583,10726.9548,3898.6354,1826.8897,2749.6986,6051.3346,7320.6893,8349.3576
2018-04-13,3159.0521,10687.0183,3871.1443,1824.5943,2726.3956,6027.1867,7292.3173,8282.9203
2018-04-16,3110.6489,10621.7884,3808.863,1838.7088,2664.7045,6012.4053,7260.8519,8136.4313
2018-04-17,3066.7967,10395.1566,3748.6412,1783.7407,2635.7032,5890.8571,7041.3113,8029.1803
2018-04-18,3091.3987,10491.1497,3766.282,1822.2644,2653.7691,5970.6577,7124.2267,8078.3776
2018-04-19,3117.376,10598.353,3811.843,1820.2808,2682.5518,6004.7334,7183.2155,8164.4853
2018-04-20,3071.5425,10408.9103,3760.8543,1782.8085,2647.3763,5880.8359,7065.41,8058.1355
2018-04-23,3068.012,10330.629,3766.3257,1753.0476,2664.9175,5823.9205,6977.4418,8079.6806
2018-04-24,3128.9271,10556.8221,3843.4886,1806.8609,2722.8474,5957.1927,7114.4763,8240.5478
2018-04-25,3117.9739,10547.0987,3828.7015,1819.4064,2702.9802,5959.422,7114.1616,8200.5332
2018-04-26,3075.0301,10292.1195,3755.4941,1781.2761,2666.0239,5847.9766,6940.684,8082.3571
2018-04-27,3082.2316,10324.4679,3756.8765,1805.5958,2653.5436,5860.9836,6998.7679,8075.308
2018-05-02,3081.1773,10342.8457,3763.6461,1801.5708,2652.7311,5855.3233,7038.238,8084.0628
2018-05-03,3100.8586,10458.6223,3793.0001,1826.7912,2663.9752,5910.6058,7104.1258,8136.8964
2018-05-04,3091.0334,10426.1884,3774.5981,1814.8549,2646.3548,5909.2944,7129.3274,8096.4739
2018-05-07,3136.6448,10626.5086,3834.1877,1852.3359,2683.8487,6019.1409,7254.605,8208.2116
2018-05-08,3161.4976,10707.804,3878.6767,1856.868,2722.88,6041.8143,7299.2634,8303.8361
2018-05-09,3159.1502,10689.0715,3871.6152,1855.8086,2717.2393,6029.2329,7299.2811,8290.0269
2018-05-10,3174.4127,10729.7655,3893.0565,1865.3588,2729.4001,6040.5716,7334.6218,8335.8398
2018-05-11,3163.2632,10634.3004,3872.8383,1834.7797,2724.7162,5991.3424,7287.9833,8303.7182
2018-05-14,3174.032,10671.4575,3909.2933,1830.9804,2753.5353,5967.5541,7364.5459,8376.4738
2018-05-15,3192.1183,10747.9932,3924.0975,1858.0114,2750.8309,6020.5697,7406.3618,8402.578
2018-05-16,3169.5652,10701.3231,3892.8442,1846.6748,2716.7818,6004.0696,7392.6211,8325.9101
2018-05-17,3154.2825,10635.4985,3864.0507,1831.2045,2700.8768,5973.7785,7346.9954,8266.0376
2018-05-18,3193.3034,10672.5222,3903.0637,1836.7539,2740.5347,5995.1497,7341.2387,8367.6648
2018-05-21,3213.8404,10765.3476,3921.2421,1862.4808,2745.8041,6072.1991,7428.0225,8402.9056
2018-05-22,3214.3497,10765.8051,3906.2081,1875.9994,2728.0004,6092.9069,7423.8034,8368.4793
2018-05-23,3168.9642,10631.1235,3854.5825,1845.9733,2683.6934,6013.8472,7335.858,8251.0257
2018-05-24,3154.6506,10564.1271,3827.217,1838.4028,2665.6758,5992.6209,7281.7547,8197.8942
2018-05-25,3141.3032,10448.2249,3816.498,1804.5488,2661.2911,5917.7978,7193.4387,8192.9059
2018-05-28,3135.0821,10465.5372,3833.2599,1796.9134,2673.1985,5891.2627,7215.6473,8213.88
2018-05-29,3120.4605,10349.065,3804.0093,1773.6458,2663.4034,5835.4456,7129.8517,8169.5837
2018-05-30,3041.4434,10105.7945,3723.3724,1726.2188,2605.9005,5682.5881,6961.953,7992.6065
2018-05-31,3095.4737,10295.729,3802.3759,1743.7426,2658.2917,5754.4746,7097.4213,8148.4555
2018-06-01,3075.1372,10169.3541,3770.5891,1709.5476,2647.1867,5685.1155,7001.5454,8092.934
2018-06-04,3091.1909,10204.3167,3807.5781,1702.9297,2694.577,5683.1486,6993.0847,8183.3737
2018-06-05,3114.2055,10385.6052,3845.3164,1746.113,2707.0168,5779.0778,7147.0866,8244.5292
2018-06-06,3115.1803,10365.1256,3837.3511,1743.2475,2692.1807,5774.2575,7142.5915,8232.1555
2018-06-07,3109.4988,10313.8458,3831.0128,1730.375,2695.2374,5738.0176,7106.5099,8225.7494
2018-06-08,3067.1478,10205.5178,3779.6159,1711.5224,2652.0823,5669.3031,7035.0847,8103.9551
2018-06-11,3052.7831,10175.3463,3779.9818,1688.6179,2660.4084,5632.3566,6996.9822,8103.9832
2018-06-12,3079.8018,10315.2841,3825.9534,1712.7684,2687.7018,5693.3461,7067.1129,8186.0313
2018-06-13,3049.7965,10161.6484,3788.3391,1685.8948,2671.6265,5607.0173,6956.6403,8124.9682
