trade_date,close,open,北向资金
2016-07-14,3276.7637,3277.4816,743.0
2016-07-15,3276.2775,3278.8357,453.0
2016-07-18,3262.0222,3269.7077,750.0
2016-07-19,3248.2341,3260.4349,589.0
2016-07-20,3237.6051,3246.8626,377.0
2016-07-21,3252.5227,3238.3367,757.0
2016-07-22,3225.1621,3251.242,326.0
2016-07-25,3230.885,3220.1658,497.0
2016-07-26,3269.5882,3228.234,556.0
2016-07-27,3218.243,3270.0837,1075.0
2016-07-28,3221.1365,3204.4645,-255.0
2016-07-29,3203.9304,3217.1923,356.0
2016-08-01,3176.8091,3196.425,1415.0
2016-08-03,3193.5073,3179.6842,170.0
2016-08-04,3201.2888,3190.546,-133.0
2016-08-05,3205.1101,3201.3543,771.0
2016-08-08,3234.1833,3199.5723,983.0
2016-08-09,3256.9813,3232.603,1602.0
2016-08-10,3243.3409,3255.1822,1316.0
2016-08-11,3233.3604,3239.5583,1047.0
2016-08-12,3294.2337,3231.8065,616.0
2016-08-15,3393.4239,3303.4688,855.0
2016-08-16,3378.2451,3403.3839,5019.0
2016-08-17,3373.0476,3377.7713,1736.0
2016-08-18,3364.4851,3369.9472,1481.0
2016-08-19,3365.0197,3358.555,614.0
2016-08-22,3336.7949,3364.681,174.0
2016-08-23,3341.8298,3332.621,465.0
2016-08-24,3329.8631,3341.9304,442.0
2016-08-25,3308.9721,3314.0846,525.0
2016-08-26,3307.0902,3312.4991,457.0
2016-08-29,3307.7812,3306.5749,150.0
2016-08-30,3311.9872,3310.3188,1154.0
2016-08-31,3327.7938,3310.5654,531.0
2016-09-01,3301.5767,3326.7389,393.0
2016-09-02,3314.1142,3298.7217,48.0
2016-09-05,3319.6803,3321.0053,1688.0
2016-09-06,3342.6259,3322.018,1205.0
2016-09-07,3340.8172,3344.0657,835.0
2016-09-08,3339.564,3338.0082,1264.0
2016-09-09,3318.044,3339.3733,-70.0
2016-09-12,3262.6043,3271.8702,-2222.0
2016-09-13,3260.333,3265.3373,-108.0
2016-09-14,3238.7299,3245.7371,-963.0
2016-09-19,3263.1242,3242.7429,-713.0
2016-09-20,3257.4034,3264.6649,-659.0
2016-09-21,3266.6363,3257.7097,-85.0
2016-09-22,3291.1211,3281.4718,1198.0
2016-09-23,3275.6665,3292.2788,603.0
2016-09-26,3220.2838,3267.6905,-331.0
2016-09-27,3240.7546,3214.8704,-222.0
2016-09-28,3230.8904,3243.647,-106.0
2016-09-29,3244.3874,3234.857,587.0
2016-10-11,3306.5573,3296.8672,1045.0
2016-10-12,3300.0099,3299.1388,-527.0
2016-10-13,3302.6455,3299.1557,-465.0
2016-10-14,3305.8481,3298.734,1026.0
2016-10-17,3277.8787,3305.9635,-144.0
2016-10-18,3321.3324,3272.6815,758.0
2016-10-19,3316.2407,3323.3038,417.0
2016-10-20,3318.6044,3317.1792,514.0
2016-10-24,3367.5778,3332.5125,865.0
2016-10-25,3367.4547,3367.4753,956.0
2016-10-26,3354.8003,3365.1975,301.0
2016-10-27,3345.695,3351.4603,-540.0
2016-10-28,3340.1262,3347.1438,416.0
2016-10-31,3336.2778,3332.406,233.0
2016-11-01,3359.0515,3338.7099,463.0
2016-11-02,3333.3524,3350.71,-946.0
2016-11-03,3365.085,3326.9045,-350.0
2016-11-04,3354.1749,3362.2055,-160.0
2016-11-07,3356.5916,3353.4441,103.0
2016-11-08,3371.1177,3367.6974,372.0
2016-11-09,3353.0547,3370.5999,-3996.0
2016-11-10,3390.6119,3374.906,1644.0
2016-11-11,3417.2211,3387.9481,-584.0
2016-11-14,3430.2482,3409.2241,-113.0
2016-11-15,3429.8697,3428.8663,58.0
2016-11-16,3429.5921,3432.4336,798.0
2016-11-17,3436.535,3423.4654,27.0
2016-11-18,3417.4554,3437.4898,-24.0
2016-11-21,3441.1106,3412.6523,176.0
2016-11-22,3468.3637,3443.2201,1375.0
2016-11-23,3474.7289,3473.8949,1163.0
2016-11-24,3488.7402,3468.8071,932.0
2016-11-25,3521.2984,3490.0399,1766.0
2016-11-28,3535.0807,3538.6754,1467.0
2016-11-29,3564.0404,3525.9011,1090.0
2016-11-30,3538.001,3557.6357,1171.0
2016-12-01,3565.036,3543.9555,1045.0
2016-12-02,3528.9547,3559.7711,-1437.0
2016-12-05,3469.4073,3473.6876,1318.43
2016-12-06,3459.1533,3466.2417,1542.34
2016-12-07,3475.7473,3458.3687,1995.3
2016-12-08,3470.1426,3481.8067,2353.95
2016-12-09,3493.7004,3464.8733,199.21
2016-12-12,3409.1794,3489.2683,1108.47
2016-12-13,3405.0355,3394.2072,1744.85
2016-12-14,3378.9453,3399.4113,999.47
2016-12-15,3340.4338,3363.8597,563.27
2016-12-16,3346.0305,3335.3625,1291.0
2016-12-19,3328.9827,3342.3449,-500.59
2016-12-20,3309.0641,3328.2985,-2467.56
2016-12-21,3338.536,3313.7451,214.96
2016-12-22,3335.672,3335.1218,-458.55
2016-12-23,3307.5991,3333.4009,0.0
2016-12-28,3301.8887,3315.7526,-400.25
2016-12-29,3297.7648,3297.036,23.57
